,Unnamed: 0,sys_id,product_id,product_name,product_en_name,category,supplier_name,brand_name,keyword,description,data_time,data_status
206,206,207,26361,台灣茶人 韓國濟州島 抹茶粉罐裝 40g,Taiwan Teaman Korean Jeju Island Matcha Powder Cylinder Tube 40g,美食,(台灣茶人)恩實有限公司,台灣茶人,"春節禮盒 CNY GIFTS,TW-Teaman-Matcha,韓式茶,無糖茶,Tea,飲料,Drink,Beverage,控糖,減糖,飲品,沖泡抹茶,Sugar-free,Sugar-free Tea,無糖抹茶,Sugar-free Matcha,綠抹茶,Green Matcha",天然栽培，家喻戶曉的抹茶粉 全世界一同享受濟州的滋味 高海拔、低溫、火山岩半水栽培 保留茶葉原始風味　最新粉碎工藝,2022-10-01,0
207,207,208,26360,3件組 MissDoll 深情迷漓 歐單花朵柔軟中大尺碼超彈力中腰三角內褲 5色 XL-4XL,3-Pieces-Set MissDoll European flower super elastic soft briefs 5 Colors XL-4XL,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,花邊內褲,黑色內褲,Black panties,性感內褲,愛心內褲,網紗內褲,透氣內褲,Sexy panties,蕾絲內褲,中腰內褲,粉色內褲",．顏色隨機出貨 ．超高彈力中大尺碼柔軟不卡檔 ．花紋蕾絲增添一絲柔美 ．柔滑面料細心呵護您每一寸肌膚,2022-10-01,0
208,208,209,26359,12.12 Flash Sale Pingo外噴式負離子直髮梳,12.12 Flash Sale CHECK2CHECK Pingo Ionic Straightener Brush,生活,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"1212,FlashSale,C2C,美髮造型,直髮梳,直髮夾,電熱梳,電棒梳,造型梳,負離子電棒梳,直髮電棒梳,Styling Comb,Ionic Ceramic Hair Curler,Hair Styler,Straightener Brush",藝人網紅強力推薦 ．快速升溫 60分鐘自動斷電 ．10段式溫控 LED燈螢幕顯示 ．捲髮、直髮、鮑伯內灣 一支搞定 ．本商品附送轉接頭(included adaptor.),2022-10-01,0
209,209,210,26358,FS直播限定！森田藥粧 毛孔潔淨面膜組,Dr.Morita Hyaluronic Acid Moisturizing Essence Mask(8 pcs/box)+Pore Purification & Brightening Essence Facial Mask(8 pcs/box),保養,(森田藥粧)森田藥妝亞洲電子商務有限公司,森田藥粧,"提亮肌膚 Skin Brightening,森田藥妝,Dr.Morita,Essence Mask,茶樹面膜,黑面膜,玻尿酸面膜,保濕面膜,精華面膜,精華液面膜,膠原蛋白,美白面膜,Moisturizing mask,Whitening mask,玻尿酸保濕,抗黑淨白",．玻尿酸+傅明酸 消融黑、煥活白 深入肌底 深層代謝黑色素 膠原蛋白添加 有效撫平細紋、防止肌膚老化．台灣高山茶樹 日本進口玻尿酸 ．平衡水油 祛除痘痘 ．舒緩無刺激 收縮毛孔 ．深層補水滋潤,2022-10-01,0
210,210,211,26357,3件組 MissDoll 春日花園 歐單花紋特大尺碼超彈力中腰三角內褲 5色 XL-4XL,3-Pieces-Set MissDoll European Flower Super Stretch Large Size Briefs 5 Colors XL-4XL,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,點點內褲,黑色內褲,Black panties,性感內褲,愛心內褲,網紗內褲,透氣內褲,Sexy panties,蕾絲內褲,中腰內褲",．顏色隨機出貨 ．特大尺碼孕婦、媽媽都適穿 ．嚴選超彈力網紗氣質蕾絲 ．柔軟蕾絲面料舒適不卡檔,2022-10-01,0
211,211,212,26356,3件組 MissDoll 閉眼沉醉 性感豹紋誘惑前簍空三角內褲 3色 F,3-Pieces-Set MissDoll Leopard Print Sexy Front Open Briefs 3 Colors F,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,點點內褲,黑色內褲,Black panties,性感內褲,愛心內褲,網紗內褲,豹紋三角褲,透氣內褲,Sexy panties",．顏色隨機出貨 ．性感豹紋誘惑小褲 ．柔軟網紗細心呵護您的肌膚 ．前簍空設計展現妳的女王架式,2022-10-01,0
212,212,213,26355,3件組 MissDoll 挑逗你 經典不敗性感撞色豹紋三角內褲 3色 F,3-Pieces-Set MissDoll Classic Contrast Color Leopard Sexy Briefs 3 Colors F,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,點點內褲,黑色內褲,Black panties,性感內褲,愛心內褲,網紗內褲,豹紋三角褲,透氣內褲,Sexy panties",．顏色隨機出貨 ．性感豹紋誘惑小褲 ．高彈力材質緊緻而不緊繃 ．面料細緻滑順觸感極佳,2022-10-01,0
213,213,214,26354,3件組 MissDoll 繽紛泡泡 歐單造型緞帶後透視網紗三角內褲 4色 F,3-Pieces-Set MissDoll European Ribbon Playful Panties 4 Colors F,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,Cute Triangle Briefs,點點內褲,黑色內褲,Black panties,緞帶內褲,蝴蝶結內褲,愛心內褲,網紗內褲",歐單柔軟親膚高質感小褲 後立體緞帶與透視蕾絲 立即展現您的俏麗氣息,2022-10-01,0
214,214,215,26353,3件組 MissDoll 迷上了 歐單荷葉誘惑後交叉簍空三角內褲 4色 F,3-Pieces-Set MissDoll Playful Sexy Openwork Briefs 4 Colors F,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,Cute Triangle Briefs,點點內褲,黑色內褲,Black panties,Pink Panties,中腰內褲,蝴蝶結內褲,藍色內褲,荷葉邊內褲",嚴選柔軟網紗小褲 輕薄透氣零束縛 後交叉簍空隱藏性感小心機,2022-10-01,0
215,215,216,26352,3件組 MissDoll 不醉不會 歐單荷葉古典刺繡無痕末代爾三角內褲 4色 F,3-Pieces-Set MissDoll Classical Embroidered Seamless Modal Triangle Panties 4 Colors F,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,Cute Triangle Briefs,粉色內褲,黑色內褲,藍色內褲,Black panties,Pink Panties,中腰內褲,無痕內褲,咖啡色內褲,荷葉邊內褲",．顏色隨機出貨 ．嚴選末代爾無痕小褲 ．鎖邊超服貼舒適不卡檔 ．古典刺繡增添一股迷人氣息,2022-10-01,0
216,216,217,26351,Neogence 全能緊緻奇蹟霜 30ml,Neogence Anti-Aging Cream With Bakuchiol 30ml,保養,(Neogence)德典生技股份有限公司,Neogence,"霓淨思,熬夜,睡飽霜,抗齡,抗老,淡紋,細紋,Anti-wrinkle,抗皺,緊緻,Firming,黑眼圈,Dark Circles,毛孔粗大,暗沉,蠟黃,痘痘,Pimples,浮粉,脫妝,黑色素,蜂王乳,胜肽,潤澤",◎補骨脂酚(植物性類維他命A)全面活化疲憊肌，溫和不刺激 ◎蜂王乳蛋白+六胜肽，淡化表情紋、有感緊緻 ◎讓熬夜不著痕跡，輕鬆擁有睡滿8小時好膚質,2022-10-01,0
217,217,218,26350,3件組 MissDoll 訴說秘密 歐單無痕花邊竹纖維大尺碼中腰三角內褲 XL-3XL,3-Pieces-Set MissDoll Lace Seamless Bamboo Fiber Large Size Briefs XL-3XL,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll內褲,MissDoll三角褲,可愛內褲,Sexy Triangle Briefs,Cute Triangle Briefs,粉色內褲,黑色內褲,藍色內褲,Black panties,Pink Panties,中腰內褲,無痕內褲,大尺碼內褲,花邊內褲",．款式顏色隨機出貨 ．歐單無痕竹纖維褲 ．唯美氣質的花邊蕾絲 ．輕膚舒適超透氣,2022-10-01,0
218,218,219,26349,Neogence 神敷奇肌黑凍膜 230ml／370ml,Neogence Deep Cleansing Pack 230ml/370ml,保養,(Neogence)德典生技股份有限公司,Neogence,"吸油面膜,Oil Absorbing Masks,霓淨思,粉刺,Ance,毛孔緊緻,Poreless,控油面膜,Oil Control,Hydrating,Moisturizing,Brightening,Whitening,粉刺吸塵器,竹炭面膜,竹碳面膜,薏仁面膜,水凝凍,凍膜 Gel Mask",◎桂竹竹炭粉-淨空粉刺，即效控油 ◎薏仁萃取-全面淨白，再現滑嫩 ◎洋甘菊+金縷花萃取-加強水分平衡，舒緩乾燥引起不適 ◎冰涼凝凍質地-鎮定泛紅膚況,2022-10-01,0
219,219,220,26348,3件組 MissDoll 超值福袋F罩杯大罩杯蕾絲機能包覆內衣,3-Pieces-Set MissDoll Value Underwear Bag Random Set F Cup,內衣,(MissDoll)艾芸有限公司,MissDoll,"MissDoll胸罩,MissDoll內衣,大罩杯內衣,可愛內衣,Sexy bra,Cute bra,大尺碼內衣,黑色內衣,粉色內衣,Purple bra,Black bra,Pink bra,內衣福袋,白色內衣,White bra,蕾絲內衣,機能內衣,肩帶內衣",．款式顏色隨機出貨 ．內衣褲無法保證成套 ．出貨不限圖片示範款式,2022-10-01,0
220,220,221,26347,買1送1 森田藥粧花漾美顏超值禮盒組 13入/盒,Buy 1 Free 1 Dr.Morita Hyaluronic Acid Hydrating Facial Mask (13 pcs/box),保養,(森田藥粧)森田藥妝亞洲電子商務有限公司,森田藥粧,"森田藥妝,Dr.Morita,玻尿酸面膜,保濕面膜,保濕修護,精華液面膜,Hyaluronic Acid Mask,Moisturizing Mask,Serum Facial Mask",礼盒里一共有四款，每款的精华液都非常多，拿出来就能看到满满当当的营养，超满足有没有~的日常补水妥妥的~敷完后整个脸都水水嫩嫩好舒服！量大实惠，可以说性价比十分的高了，一共十三片，每天敷都不心疼~,2022-10-01,0
221,221,222,26346,12.12 Flash Sale Pingo Qmini極輕迷你吹風機 3色可選,12.12 Flash Sale CHECK2CHECK Pingo Qmini Hair Dryer,生活,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"1212,FlashSale,C2C,吹風機,Hair Dryer,Mini Hair Dryer,隨身型吹風機,輕巧型吹風機,掌上型吹風機,Qmini吹風機,Qmini Hair Dryer,CHECK2CHECK",眾多藝人網紅推薦  重量等於1隻iPhone手機 僅184g！  2段風速模式 過熱自動斷電 機身不燙手 一手掌握輕巧移動,2022-10-01,0
